latitude,longitude,km
-34.60871951,-58.41655065,890
-34.6087202,-58.41656151,891
-34.60872092,-58.41657238,892
-34.60872164,-58.41658325,893
-34.60872239,-58.41659412,894
-34.60872314,-58.41660499,895
-34.60872389,-58.41661585,896
-34.60872464,-58.41662671,897
-34.60872539,-58.41663757,898
-34.60872614,-58.41664843,899
-34.60872687,-58.41665929,900
-34.60872758,-58.41667016,901
-34.60872828,-58.41668103,902
-34.60872899,-58.4166919,903
-34.6087297,-58.41670277,904
-34.60873041,-58.41671366,905
-34.60873113,-58.41672454,906
-34.60873187,-58.41673542,907
-34.60873261,-58.4167463,908
-34.60873336,-58.41675718,909
-34.60873412,-58.41676806,910
-34.60873489,-58.41677894,911
-34.60873567,-58.41678982,912
-34.60873645,-58.4168007,913
-34.60873725,-58.41681157,914
-34.60873804,-58.41682244,915
-34.60873884,-58.41683331,916
-34.60873965,-58.41684417,917
-34.60874047,-58.41685503,918
-34.6087413,-58.41686589,919
-34.60874213,-58.41687674,920
-34.60874299,-58.4168876,921
-34.60874385,-58.41689846,922
-34.60874475,-58.41690931,923
-34.60874564,-58.41692016,924
-34.60874655,-58.416931,925
-34.60874746,-58.41694185,926
-34.6087484,-58.41695269,927
-34.60874939,-58.41696353,928
-34.60875037,-58.41697437,929
-34.60875134,-58.41698522,930
-34.60875231,-58.41699607,931
-34.60875333,-58.4170069,932
-34.60875437,-58.41701773,933
-34.60875541,-58.41702856,934
-34.60875645,-58.41703939,935
-34.60875751,-58.41705022,936
-34.6087586,-58.41706105,937
-34.60875969,-58.41707188,938
-34.60876079,-58.41708271,939
-34.60876189,-58.41709353,940
-34.608763,-58.41710436,941
-34.60876413,-58.41711517,942
-34.60876527,-58.41712599,943
-34.60876643,-58.4171368,944
-34.6087676,-58.41714762,945
-34.60876879,-58.41715843,946
-34.60876999,-58.41716924,947
-34.6087712,-58.41718005,948
-34.60877243,-58.41719085,949
-34.60877365,-58.41720166,950
-34.6087749,-58.41721246,951
-34.60877614,-58.41722326,952
-34.60877741,-58.41723406,953
-34.60877868,-58.41724485,954
-34.60877996,-58.41725565,955
-34.60878125,-58.41726644,956
-34.60878254,-58.41727723,957
-34.60878385,-58.41728802,958
-34.60878516,-58.4172988,959
-34.60878648,-58.41730959,960
-34.60878781,-58.41732037,961
-34.60878915,-58.41733115,962
-34.60879048,-58.41734193,963
-34.60879183,-58.41735271,964
-34.60879319,-58.41736349,965
-34.60879455,-58.41737428,966
-34.60879593,-58.41738506,967
-34.60879731,-58.41739584,968
-34.60879875,-58.4174066,969
-34.60880024,-58.41741735,970
-34.60880172,-58.4174281,971
-34.60880316,-58.41743887,972
-34.60880461,-58.41744963,973
-34.60880611,-58.4174604,974
-34.60880766,-58.41747116,975
-34.60880917,-58.41748193,976
-34.60881065,-58.41749269,977
-34.60881217,-58.41750345,978
-34.60881373,-58.41751419,979
-34.60881528,-58.41752495,980
-34.60881682,-58.41753571,981
-34.60881836,-58.41754648,982
-34.60881994,-58.41755723,983
-34.60882156,-58.41756797,984
-34.60882315,-58.4175787,985
-34.60882475,-58.41758943,986
-34.60882637,-58.41760014,987
-34.60882801,-58.41761086,988
-34.60882963,-58.41762158,989
-34.60883128,-58.41763229,990
-34.60883295,-58.417643,991
-34.60883464,-58.41765371,992
-34.60883632,-58.41766441,993
-34.60883799,-58.41767512,994
-34.60883968,-58.41768581,995
-34.60884139,-58.41769651,996
-34.6088431,-58.41770721,997
-34.6088448,-58.41771791,998
-34.60884652,-58.41772861,999
-34.60884825,-58.4177393,1000
-34.60884998,-58.41775,1001
-34.60885171,-58.41776069,1002
-34.60885344,-58.41777139,1003
-34.60885519,-58.41778208,1004
-34.60885695,-58.41779277,1005
-34.6088587,-58.41780347,1006
-34.60886046,-58.41781416,1007
-34.60886225,-58.41782484,1008
-34.60886404,-58.41783552,1009
-34.60886583,-58.4178462,1010
-34.60886762,-58.41785688,1011
-34.60886943,-58.41786756,1012
-34.60887125,-58.41787825,1013
-34.60887306,-58.41788893,1014
-34.60887487,-58.41789962,1015
-34.6088767,-58.41791029,1016
-34.60887854,-58.41792097,1017
-34.60888036,-58.41793166,1018
-34.60888218,-58.41794235,1019
-34.60888402,-58.41795303,1020
-34.60888588,-58.41796371,1021
-34.60888773,-58.41797439,1022
-34.60888957,-58.41798506,1023
-34.60889143,-58.41799574,1024
-34.60889332,-58.4180064,1025
-34.60889518,-58.41801707,1026
-34.60889704,-58.41802774,1027
-34.60889892,-58.41803841,1028
-34.60890082,-58.41804906,1029
-34.60890271,-58.41805972,1030
-34.60890461,-58.41807038,1031
-34.60890652,-58.41808104,1032
-34.60890843,-58.4180917,1033
-34.60891037,-58.41810235,1034
-34.60891231,-58.418113,1035
-34.60891426,-58.41812365,1036
-34.60891622,-58.4181343,1037
-34.60891827,-58.41814493,1038
-34.6089205,-58.4181555,1039
-34.6089227,-58.41816608,1040
-34.60892471,-58.41817671,1041
-34.60892671,-58.41818735,1042
-34.60892881,-58.41819796,1043
-34.60893093,-58.41820856,1044
-34.60893297,-58.41821919,1045
-34.60893498,-58.41822983,1046
-34.60893704,-58.41824044,1047
-34.60893914,-58.41825105,1048
-34.60894121,-58.41826166,1049
-34.60894325,-58.41827228,1050
-34.60894531,-58.4182829,1051
-34.6089474,-58.41829351,1052
-34.60894948,-58.41830413,1053
-34.60895153,-58.41831475,1054
-34.60895359,-58.41832536,1055
-34.60895568,-58.41833597,1056
-34.60895777,-58.41834657,1057
-34.60895986,-58.41835718,1058
-34.60896195,-58.41836779,1059
-34.60896405,-58.4183784,1060
-34.60896615,-58.41838901,1061
-34.60896826,-58.4183996,1062
-34.60897038,-58.4184102,1063
-34.6089725,-58.41842079,1064
-34.60897464,-58.41843139,1065
-34.60897678,-58.41844198,1066
-34.60897893,-58.41845257,1067
-34.60898108,-58.41846316,1068
-34.60898323,-58.41847375,1069
-34.60898537,-58.41848434,1070
-34.60898751,-58.41849493,1071
-34.60898965,-58.41850552,1072
-34.60899178,-58.41851612,1073
-34.60899392,-58.41852671,1074
-34.60899607,-58.4185373,1075
-34.60899821,-58.41854789,1076
-34.60900035,-58.41855848,1077
-34.60900248,-58.41856907,1078
-34.60900461,-58.41857966,1079
-34.60900674,-58.41859026,1080
-34.60900885,-58.41860086,1081
-34.60901096,-58.41861146,1082
-34.60901307,-58.41862206,1083
-34.60901518,-58.41863265,1084
-34.60901728,-58.41864326,1085
-34.60901938,-58.41865386,1086
-34.60902147,-58.41866446,1087
-34.60902353,-58.41867506,1088
-34.6090256,-58.41868567,1089
-34.6090277,-58.41869626,1090
-34.60902983,-58.41870685,1091
-34.60903199,-58.41871745,1092
-34.60903413,-58.41872806,1093
-34.60903623,-58.41873867,1094
-34.60903835,-58.41874929,1095
-34.60904051,-58.41875989,1096
-34.60904269,-58.41877049,1097
-34.60904485,-58.4187811,1098
-34.60904702,-58.41879172,1099
-34.6090492,-58.41880232,1100
-34.6090514,-58.41881291,1101
-34.60905359,-58.41882349,1102
-34.60905577,-58.41883406,1103
-34.60905796,-58.41884461,1104
-34.60906017,-58.41885516,1105
-34.60906238,-58.41886571,1106
-34.60906458,-58.41887628,1107
-34.60906677,-58.41888685,1108
-34.60906899,-58.41889741,1109
-34.60907121,-58.41890797,1110
-34.60907343,-58.41891853,1111
-34.60907564,-58.41892909,1112
-34.60907787,-58.41893966,1113
-34.60908012,-58.41895023,1114
-34.60908237,-58.4189608,1115
-34.60908462,-58.41897138,1116
-34.60908687,-58.41898194,1117
-34.60908915,-58.4189925,1118
-34.60909142,-58.41900304,1119
-34.6090937,-58.41901358,1120
